Metric,Task,Value,Unit
Cumulative indexing time of primary shards,,0.94515,min
Min cumulative indexing time across primary shards,,0.05921666666666667,min
Median cumulative indexing time across primary shards,,0.17706666666666668,min
Max cumulative indexing time across primary shards,,0.17873333333333333,min
Cumulative indexing throttle time of primary shards,,0,min
Min cumulative indexing throttle time across primary shards,,0,min
Median cumulative indexing throttle time across primary shards,,0.0,min
Max cumulative indexing throttle time across primary shards,,0,min
Cumulative merge time of primary shards,,0.016016666666666665,min
Cumulative merge count of primary shards,,2,
Min cumulative merge time across primary shards,,0,min
Median cumulative merge time across primary shards,,0.0,min
Max cumulative merge time across primary shards,,0.016016666666666665,min
Cumulative merge throttle time of primary shards,,0,min
Min cumulative merge throttle time across primary shards,,0,min
Median cumulative merge throttle time across primary shards,,0.0,min
Max cumulative merge throttle time across primary shards,,0,min
Cumulative refresh time of primary shards,,0.17384999999999998,min
Cumulative refresh count of primary shards,,83,
Min cumulative refresh time across primary shards,,0.005333333333333333,min
Median cumulative refresh time across primary shards,,0.03009166666666667,min
Max cumulative refresh time across primary shards,,0.046799999999999994,min
Cumulative flush time of primary shards,,0.015083333333333334,min
Cumulative flush count of primary shards,,12,
Min cumulative flush time across primary shards,,0,min
Median cumulative flush time across primary shards,,0.0,min
Max cumulative flush time across primary shards,,0.015083333333333334,min
Total Young Gen GC time,,0.152,s
Total Young Gen GC count,,6,
Total Old Gen GC time,,0,s
Total Old Gen GC count,,0,
Store size,,0.29407488740980625,GB
Translog size,,0.3604215271770954,GB
Heap used for segments,,0.21002197265625,MB
Heap used for doc values,,0.0085601806640625,MB
Heap used for terms,,0.16064453125,MB
Heap used for norms,,0.02001953125,MB
Heap used for points,,0,MB
Heap used for stored fields,,0.0207977294921875,MB
Segment count,,42,
Total Ingest Pipeline count,,0,
Total Ingest Pipeline time,,0,s
Total Ingest Pipeline failed,,0,
Min Throughput,bulk,6016.36,docs/s
Mean Throughput,bulk,6855.21,docs/s
Median Throughput,bulk,6920.65,docs/s
Max Throughput,bulk,6991.22,docs/s
50th percentile latency,bulk,20.664781499363016,ms
90th percentile latency,bulk,23.375124896119814,ms
99th percentile latency,bulk,30.766020028240746,ms
99.9th percentile latency,bulk,88.40400397212132,ms
99.99th percentile latency,bulk,371.3052523222646,ms
100th percentile latency,bulk,377.36080800095806,ms
50th percentile service time,bulk,20.664781499363016,ms
90th percentile service time,bulk,23.375124896119814,ms
99th percentile service time,bulk,30.766020028240746,ms
99.9th percentile service time,bulk,88.40400397212132,ms
99.99th percentile service time,bulk,371.3052523222646,ms
100th percentile service time,bulk,377.36080800095806,ms
error rate,bulk,0.00,%
