Metric,Task,Value,Unit
Cumulative indexing time of primary shards,,0.9533833333333334,min
Min cumulative indexing time across primary shards,,0.025133333333333334,min
Median cumulative indexing time across primary shards,,0.18269166666666664,min
Max cumulative indexing time across primary shards,,0.19408333333333333,min
Cumulative indexing throttle time of primary shards,,0,min
Min cumulative indexing throttle time across primary shards,,0,min
Median cumulative indexing throttle time across primary shards,,0.0,min
Max cumulative indexing throttle time across primary shards,,0,min
Cumulative merge time of primary shards,,0.033850000000000005,min
Cumulative merge count of primary shards,,1,
Min cumulative merge time across primary shards,,0,min
Median cumulative merge time across primary shards,,0.0,min
Max cumulative merge time across primary shards,,0.033850000000000005,min
Cumulative merge throttle time of primary shards,,0,min
Min cumulative merge throttle time across primary shards,,0,min
Median cumulative merge throttle time across primary shards,,0.0,min
Max cumulative merge throttle time across primary shards,,0,min
Cumulative refresh time of primary shards,,0.13743333333333335,min
Cumulative refresh count of primary shards,,69,
Min cumulative refresh time across primary shards,,0.0019500000000000001,min
Median cumulative refresh time across primary shards,,0.026324999999999998,min
Max cumulative refresh time across primary shards,,0.03025,min
Cumulative flush time of primary shards,,0.004483333333333334,min
Cumulative flush count of primary shards,,4,
Min cumulative flush time across primary shards,,0,min
Median cumulative flush time across primary shards,,0.0,min
Max cumulative flush time across primary shards,,0.004483333333333334,min
Total Young Gen GC time,,0.194,s
Total Young Gen GC count,,6,
Total Old Gen GC time,,0,s
Total Old Gen GC count,,0,
Store size,,0.284349013119936,GB
Translog size,,0.3605366749688983,GB
Heap used for segments,,0.2600364685058594,MB
Heap used for doc values,,0.010700225830078125,MB
Heap used for terms,,0.19775390625,MB
Heap used for norms,,0.0244140625,MB
Heap used for points,,0,MB
Heap used for stored fields,,0.02716827392578125,MB
Segment count,,55,
Total Ingest Pipeline count,,0,
Total Ingest Pipeline time,,0,s
Total Ingest Pipeline failed,,0,
Min Throughput,bulk,1048.50,docs/s
Mean Throughput,bulk,4240.17,docs/s
Median Throughput,bulk,4519.09,docs/s
Max Throughput,bulk,4832.09,docs/s
50th percentile latency,bulk,28.319125500274822,ms
90th percentile latency,bulk,32.70711669974844,ms
99th percentile latency,bulk,71.04398826102621,ms
99.9th percentile latency,bulk,103.56984032999551,ms
99.99th percentile latency,bulk,348.9209444193437,ms
100th percentile latency,bulk,352.3774620007316,ms
50th percentile service time,bulk,28.319125500274822,ms
90th percentile service time,bulk,32.70711669974844,ms
99th percentile service time,bulk,71.04398826102621,ms
99.9th percentile service time,bulk,103.56984032999551,ms
99.99th percentile service time,bulk,348.9209444193437,ms
100th percentile service time,bulk,352.3774620007316,ms
error rate,bulk,0.00,%
