Metric,Task,Value,Unit
Cumulative indexing time of primary shards,,0.025166666666666667,min
Min cumulative indexing time across primary shards,,0,min
Median cumulative indexing time across primary shards,,8.333333333333334e-06,min
Max cumulative indexing time across primary shards,,0.025133333333333334,min
Cumulative indexing throttle time of primary shards,,0,min
Min cumulative indexing throttle time across primary shards,,0,min
Median cumulative indexing throttle time across primary shards,,0.0,min
Max cumulative indexing throttle time across primary shards,,0,min
Cumulative merge time of primary shards,,0,min
Cumulative merge count of primary shards,,0,
Min cumulative merge time across primary shards,,0,min
Median cumulative merge time across primary shards,,0.0,min
Max cumulative merge time across primary shards,,0,min
Cumulative merge throttle time of primary shards,,0,min
Min cumulative merge throttle time across primary shards,,0,min
Median cumulative merge throttle time across primary shards,,0.0,min
Max cumulative merge throttle time across primary shards,,0,min
Cumulative refresh time of primary shards,,0.0019500000000000001,min
Cumulative refresh count of primary shards,,20,
Min cumulative refresh time across primary shards,,0,min
Median cumulative refresh time across primary shards,,0.0,min
Max cumulative refresh time across primary shards,,0.0019500000000000001,min
Cumulative flush time of primary shards,,0.004483333333333334,min
Cumulative flush count of primary shards,,4,
Min cumulative flush time across primary shards,,0,min
Median cumulative flush time across primary shards,,0.0,min
Max cumulative flush time across primary shards,,0.004483333333333334,min
Total Young Gen GC time,,0.015,s
Total Young Gen GC count,,1,
Total Old Gen GC time,,0,s
Total Old Gen GC count,,0,
Store size,,0.0380030469968915,GB
Translog size,,1.514330506324768e-06,GB
Heap used for segments,,0.005207061767578125,MB
Heap used for doc values,,0.000362396240234375,MB
Heap used for terms,,0.00244140625,MB
Heap used for norms,,0,MB
Heap used for points,,0,MB
Heap used for stored fields,,0.00240325927734375,MB
Segment count,,5,
Total Ingest Pipeline count,,0,
Total Ingest Pipeline time,,0,s
Total Ingest Pipeline failed,,0,
Min Throughput,bulk,0.00,ops/s
Mean Throughput,bulk,3.73,ops/s
Median Throughput,bulk,5.06,ops/s
Max Throughput,bulk,6.47,ops/s
50th percentile latency,bulk,49.95173050065205,ms
90th percentile latency,bulk,66.58524750127981,ms
99th percentile latency,bulk,78.61830755886325,ms
99.9th percentile latency,bulk,92.7168902357684,ms
99.99th percentile latency,bulk,160.413160891642,ms
100th percentile latency,bulk,169.13885100075277,ms
50th percentile service time,bulk,49.95173050065205,ms
90th percentile service time,bulk,66.58524750127981,ms
99th percentile service time,bulk,78.61830755886325,ms
99.9th percentile service time,bulk,92.7168902357684,ms
99.99th percentile service time,bulk,160.413160891642,ms
100th percentile service time,bulk,169.13885100075277,ms
error rate,bulk,100.00,%
