Metric,Task,Value,Unit
Cumulative indexing time of primary shards,,0.5196999999999999,min
Min cumulative indexing time across primary shards,,0.10091666666666667,min
Median cumulative indexing time across primary shards,,0.10445,min
Max cumulative indexing time across primary shards,,0.10775,min
Cumulative indexing throttle time of primary shards,,0,min
Min cumulative indexing throttle time across primary shards,,0,min
Median cumulative indexing throttle time across primary shards,,0,min
Max cumulative indexing throttle time across primary shards,,0,min
Cumulative merge time of primary shards,,0.0703,min
Cumulative merge count of primary shards,,10,
Min cumulative merge time across primary shards,,0.012233333333333334,min
Median cumulative merge time across primary shards,,0.01445,min
Max cumulative merge time across primary shards,,0.015583333333333334,min
Cumulative merge throttle time of primary shards,,0,min
Min cumulative merge throttle time across primary shards,,0,min
Median cumulative merge throttle time across primary shards,,0,min
Max cumulative merge throttle time across primary shards,,0,min
Cumulative refresh time of primary shards,,0.08283333333333333,min
Cumulative refresh count of primary shards,,73,
Min cumulative refresh time across primary shards,,0.014916666666666667,min
Median cumulative refresh time across primary shards,,0.01583333333333333,min
Max cumulative refresh time across primary shards,,0.018983333333333335,min
Cumulative flush time of primary shards,,0,min
Cumulative flush count of primary shards,,0,
Min cumulative flush time across primary shards,,0,min
Median cumulative flush time across primary shards,,0,min
Max cumulative flush time across primary shards,,0,min
Total Young Gen GC time,,0.102,s
Total Young Gen GC count,,9,
Total Old Gen GC time,,0,s
Total Old Gen GC count,,0,
Store size,,0.28857372235506773,GB
Translog size,,0.358208317309618,GB
Heap used for segments,,0,MB
Heap used for doc values,,0,MB
Heap used for terms,,0,MB
Heap used for norms,,0,MB
Heap used for points,,0,MB
Heap used for stored fields,,0,MB
Segment count,,34,
Total Ingest Pipeline count,,0,
Total Ingest Pipeline time,,0,s
Total Ingest Pipeline failed,,0,
Min Throughput,bulk,9464.77,docs/s
Mean Throughput,bulk,12818.73,docs/s
Median Throughput,bulk,12953.97,docs/s
Max Throughput,bulk,13484.01,docs/s
50th percentile latency,bulk,8.044041504035704,ms
90th percentile latency,bulk,11.69472499168478,ms
99th percentile latency,bulk,18.119639077922297,ms
99.9th percentile latency,bulk,83.54165004729397,ms
99.99th percentile latency,bulk,171.38380380117925,ms
100th percentile latency,bulk,172.99166700104252,ms
50th percentile service time,bulk,8.044041504035704,ms
90th percentile service time,bulk,11.69472499168478,ms
99th percentile service time,bulk,18.119639077922297,ms
99.9th percentile service time,bulk,83.54165004729397,ms
99.99th percentile service time,bulk,171.38380380117925,ms
100th percentile service time,bulk,172.99166700104252,ms
error rate,bulk,0.00,%
