Metric,Task,Value,Unit
Cumulative indexing time of primary shards,,1.8715166666666667,min
Min cumulative indexing time across primary shards,,0.36948333333333333,min
Median cumulative indexing time across primary shards,,0.37635,min
Max cumulative indexing time across primary shards,,0.37734999999999996,min
Cumulative indexing throttle time of primary shards,,0,min
Min cumulative indexing throttle time across primary shards,,0,min
Median cumulative indexing throttle time across primary shards,,0,min
Max cumulative indexing throttle time across primary shards,,0,min
Cumulative merge time of primary shards,,0.56225,min
Cumulative merge count of primary shards,,5,
Min cumulative merge time across primary shards,,0.08963333333333333,min
Median cumulative merge time across primary shards,,0.11786666666666666,min
Max cumulative merge time across primary shards,,0.12768333333333332,min
Cumulative merge throttle time of primary shards,,0,min
Min cumulative merge throttle time across primary shards,,0,min
Median cumulative merge throttle time across primary shards,,0,min
Max cumulative merge throttle time across primary shards,,0,min
Cumulative refresh time of primary shards,,0.11308333333333334,min
Cumulative refresh count of primary shards,,66,
Min cumulative refresh time across primary shards,,0.011649999999999999,min
Median cumulative refresh time across primary shards,,0.019083333333333334,min
Max cumulative refresh time across primary shards,,0.04346666666666667,min
Cumulative flush time of primary shards,,0,min
Cumulative flush count of primary shards,,0,
Min cumulative flush time across primary shards,,0,min
Median cumulative flush time across primary shards,,0,min
Max cumulative flush time across primary shards,,0,min
Total Young Gen GC time,,0.216,s
Total Young Gen GC count,,5,
Total Old Gen GC time,,0,s
Total Old Gen GC count,,0,
Store size,,0.787034684792161,GB
Translog size,,0.9978948757052422,GB
Heap used for segments,,0,MB
Heap used for doc values,,0,MB
Heap used for terms,,0,MB
Heap used for norms,,0,MB
Heap used for points,,0,MB
Heap used for stored fields,,0,MB
Segment count,,56,
Total Ingest Pipeline count,,0,
Total Ingest Pipeline time,,0,s
Total Ingest Pipeline failed,,0,
Min Throughput,bulk,198.86,docs/s
Mean Throughput,bulk,2417.94,docs/s
Median Throughput,bulk,2481.67,docs/s
Max Throughput,bulk,2551.51,docs/s
50th percentile latency,bulk,53.35831599998642,ms
90th percentile latency,bulk,65.92850160004103,ms
99th percentile latency,bulk,115.19392628000786,ms
99.9th percentile latency,bulk,1106.8313464240105,ms
99.99th percentile latency,bulk,1768.9868525575173,ms
100th percentile latency,bulk,1772.41953500004,ms
50th percentile service time,bulk,53.35831599998642,ms
90th percentile service time,bulk,65.92850160004103,ms
99th percentile service time,bulk,115.19392628000786,ms
99.9th percentile service time,bulk,1106.8313464240105,ms
99.99th percentile service time,bulk,1768.9868525575173,ms
100th percentile service time,bulk,1772.41953500004,ms
error rate,bulk,0.00,%
