Metric,Task,Value,Unit
Cumulative indexing time of primary shards,,2.0225166666666667,min
Min cumulative indexing time across primary shards,,0.03658333333333333,min
Median cumulative indexing time across primary shards,,0.38936666666666664,min
Max cumulative indexing time across primary shards,,0.41824999999999996,min
Cumulative indexing throttle time of primary shards,,0,min
Min cumulative indexing throttle time across primary shards,,0,min
Median cumulative indexing throttle time across primary shards,,0.0,min
Max cumulative indexing throttle time across primary shards,,0,min
Cumulative merge time of primary shards,,0.056266666666666666,min
Cumulative merge count of primary shards,,5,
Min cumulative merge time across primary shards,,0,min
Median cumulative merge time across primary shards,,0.011391666666666666,min
Max cumulative merge time across primary shards,,0.014866666666666667,min
Cumulative merge throttle time of primary shards,,0,min
Min cumulative merge throttle time across primary shards,,0,min
Median cumulative merge throttle time across primary shards,,0.0,min
Max cumulative merge throttle time across primary shards,,0,min
Cumulative refresh time of primary shards,,0.0527,min
Cumulative refresh count of primary shards,,92,
Min cumulative refresh time across primary shards,,0.0037500000000000003,min
Median cumulative refresh time across primary shards,,0.008525,min
Max cumulative refresh time across primary shards,,0.012416666666666666,min
Cumulative flush time of primary shards,,0.006083333333333333,min
Cumulative flush count of primary shards,,4,
Min cumulative flush time across primary shards,,0,min
Median cumulative flush time across primary shards,,0.0,min
Max cumulative flush time across primary shards,,0.006083333333333333,min
Total Young Gen GC time,,0.286,s
Total Young Gen GC count,,6,
Total Old Gen GC time,,0,s
Total Old Gen GC count,,0,
Store size,,0.7389156939461827,GB
Translog size,,0.863346865400672,GB
Heap used for segments,,0.15326690673828125,MB
Heap used for doc values,,0.01480865478515625,MB
Heap used for terms,,0.1063232421875,MB
Heap used for norms,,0.015380859375,MB
Heap used for points,,0,MB
Heap used for stored fields,,0.016754150390625,MB
Segment count,,34,
Total Ingest Pipeline count,,0,
Total Ingest Pipeline time,,0,s
Total Ingest Pipeline failed,,0,
Min Throughput,bulk,591.69,docs/s
Mean Throughput,bulk,1138.81,docs/s
Median Throughput,bulk,1152.79,docs/s
Max Throughput,bulk,1223.40,docs/s
50th percentile latency,bulk,113.24783088639379,ms
90th percentile latency,bulk,197.70816387608647,ms
99th percentile latency,bulk,380.19955484196544,ms
99.9th percentile latency,bulk,619.844198925429,ms
99.99th percentile latency,bulk,749.693434918214,ms
100th percentile latency,bulk,876.7777071334422,ms
50th percentile service time,bulk,113.24783088639379,ms
90th percentile service time,bulk,197.70816387608647,ms
99th percentile service time,bulk,380.19955484196544,ms
99.9th percentile service time,bulk,619.844198925429,ms
99.99th percentile service time,bulk,749.693434918214,ms
100th percentile service time,bulk,876.7777071334422,ms
error rate,bulk,0.00,%
