Metric,Task,Value,Unit
Cumulative indexing time of primary shards,,0.029183333333333332,min
Min cumulative indexing time across primary shards,,0,min
Median cumulative indexing time across primary shards,,0.0,min
Max cumulative indexing time across primary shards,,0.029183333333333332,min
Cumulative indexing throttle time of primary shards,,0,min
Min cumulative indexing throttle time across primary shards,,0,min
Median cumulative indexing throttle time across primary shards,,0.0,min
Max cumulative indexing throttle time across primary shards,,0,min
Cumulative merge time of primary shards,,0,min
Cumulative merge count of primary shards,,0,
Min cumulative merge time across primary shards,,0,min
Median cumulative merge time across primary shards,,0.0,min
Max cumulative merge time across primary shards,,0,min
Cumulative merge throttle time of primary shards,,0,min
Min cumulative merge throttle time across primary shards,,0,min
Median cumulative merge throttle time across primary shards,,0.0,min
Max cumulative merge throttle time across primary shards,,0,min
Cumulative refresh time of primary shards,,0.003766666666666667,min
Cumulative refresh count of primary shards,,21,
Min cumulative refresh time across primary shards,,0,min
Median cumulative refresh time across primary shards,,0.0,min
Max cumulative refresh time across primary shards,,0.003766666666666667,min
Cumulative flush time of primary shards,,0.006383333333333334,min
Cumulative flush count of primary shards,,3,
Min cumulative flush time across primary shards,,0,min
Median cumulative flush time across primary shards,,0.0,min
Max cumulative flush time across primary shards,,0.006383333333333334,min
Total Young Gen GC time,,0,s
Total Young Gen GC count,,0,
Total Old Gen GC time,,0,s
Total Old Gen GC count,,0,
Store size,,0.038427834399044514,GB
Translog size,,3.073364496231079e-07,GB
Heap used for segments,,0.00623321533203125,MB
Heap used for doc values,,0.00043487548828125,MB
Heap used for terms,,0.0029296875,MB
Heap used for norms,,0,MB
Heap used for points,,0,MB
Heap used for stored fields,,0.00286865234375,MB
Segment count,,6,
Total Ingest Pipeline count,,0,
Total Ingest Pipeline time,,0,s
Total Ingest Pipeline failed,,0,
50th percentile latency,bulk,101.17242578417063,ms
90th percentile latency,bulk,597.4096525460482,ms
100th percentile latency,bulk,644.3486632779241,ms
50th percentile service time,bulk,101.17242578417063,ms
90th percentile service time,bulk,597.4096525460482,ms
100th percentile service time,bulk,644.3486632779241,ms
error rate,bulk,100.00,%
