Metric,Task,Value,Unit
Cumulative indexing time of primary shards,,1.5774833333333333,min
Min cumulative indexing time across primary shards,,0.3107,min
Median cumulative indexing time across primary shards,,0.31401666666666667,min
Max cumulative indexing time across primary shards,,0.32456666666666667,min
Cumulative indexing throttle time of primary shards,,0,min
Min cumulative indexing throttle time across primary shards,,0,min
Median cumulative indexing throttle time across primary shards,,0,min
Max cumulative indexing throttle time across primary shards,,0,min
Cumulative merge time of primary shards,,0.0969,min
Cumulative merge count of primary shards,,5,
Min cumulative merge time across primary shards,,0.017366666666666666,min
Median cumulative merge time across primary shards,,0.02001666666666667,min
Max cumulative merge time across primary shards,,0.0207,min
Cumulative merge throttle time of primary shards,,0,min
Min cumulative merge throttle time across primary shards,,0,min
Median cumulative merge throttle time across primary shards,,0,min
Max cumulative merge throttle time across primary shards,,0,min
Cumulative refresh time of primary shards,,0.06763333333333334,min
Cumulative refresh count of primary shards,,76,
Min cumulative refresh time across primary shards,,0.012433333333333333,min
Median cumulative refresh time across primary shards,,0.013666666666666666,min
Max cumulative refresh time across primary shards,,0.014633333333333333,min
Cumulative flush time of primary shards,,0,min
Cumulative flush count of primary shards,,0,
Min cumulative flush time across primary shards,,0,min
Median cumulative flush time across primary shards,,0,min
Max cumulative flush time across primary shards,,0,min
Total Young Gen GC time,,0.138,s
Total Young Gen GC count,,6,
Total Old Gen GC time,,0,s
Total Old Gen GC count,,0,
Store size,,0.7127163605764508,GB
Translog size,,0.9978948757052422,GB
Heap used for segments,,0,MB
Heap used for doc values,,0,MB
Heap used for terms,,0,MB
Heap used for norms,,0,MB
Heap used for points,,0,MB
Heap used for stored fields,,0,MB
Segment count,,21,
Total Ingest Pipeline count,,0,
Total Ingest Pipeline time,,0,s
Total Ingest Pipeline failed,,0,
Min Throughput,bulk,1027.80,docs/s
Mean Throughput,bulk,2578.29,docs/s
Median Throughput,bulk,2590.09,docs/s
Max Throughput,bulk,2659.98,docs/s
50th percentile latency,bulk,53.480927000009615,ms
90th percentile latency,bulk,68.2900345999883,ms
99th percentile latency,bulk,94.18896992000042,ms
99.9th percentile latency,bulk,1088.0508338989537,ms
99.99th percentile latency,bulk,1704.885091337173,ms
100th percentile latency,bulk,1897.880941999972,ms
50th percentile service time,bulk,53.480927000009615,ms
90th percentile service time,bulk,68.2900345999883,ms
99th percentile service time,bulk,94.18896992000042,ms
99.9th percentile service time,bulk,1088.0508338989537,ms
99.99th percentile service time,bulk,1704.885091337173,ms
100th percentile service time,bulk,1897.880941999972,ms
error rate,bulk,0.00,%
