Metric,Task,Value,Unit
Cumulative indexing time of primary shards,,1.8827333333333334,min
Min cumulative indexing time across primary shards,,0.37284999999999996,min
Median cumulative indexing time across primary shards,,0.37728333333333336,min
Max cumulative indexing time across primary shards,,0.37985,min
Cumulative indexing throttle time of primary shards,,0,min
Min cumulative indexing throttle time across primary shards,,0,min
Median cumulative indexing throttle time across primary shards,,0,min
Max cumulative indexing throttle time across primary shards,,0,min
Cumulative merge time of primary shards,,0.10138333333333334,min
Cumulative merge count of primary shards,,5,
Min cumulative merge time across primary shards,,0.008966666666666668,min
Median cumulative merge time across primary shards,,0.02325,min
Max cumulative merge time across primary shards,,0.023950000000000003,min
Cumulative merge throttle time of primary shards,,0,min
Min cumulative merge throttle time across primary shards,,0,min
Median cumulative merge throttle time across primary shards,,0,min
Max cumulative merge throttle time across primary shards,,0,min
Cumulative refresh time of primary shards,,0.08138333333333334,min
Cumulative refresh count of primary shards,,75,
Min cumulative refresh time across primary shards,,0.0146,min
Median cumulative refresh time across primary shards,,0.015666666666666666,min
Max cumulative refresh time across primary shards,,0.01895,min
Cumulative flush time of primary shards,,0,min
Cumulative flush count of primary shards,,0,
Min cumulative flush time across primary shards,,0,min
Median cumulative flush time across primary shards,,0,min
Max cumulative flush time across primary shards,,0,min
Total Young Gen GC time,,0.203,s
Total Young Gen GC count,,6,
Total Old Gen GC time,,0,s
Total Old Gen GC count,,0,
Store size,,0.7284978479146957,GB
Translog size,,0.9978948757052422,GB
Heap used for segments,,0,MB
Heap used for doc values,,0,MB
Heap used for terms,,0,MB
Heap used for norms,,0,MB
Heap used for points,,0,MB
Heap used for stored fields,,0,MB
Segment count,,21,
Total Ingest Pipeline count,,0,
Total Ingest Pipeline time,,0,s
Total Ingest Pipeline failed,,0,
Min Throughput,bulk,1087.42,docs/s
Mean Throughput,bulk,2599.76,docs/s
Median Throughput,bulk,2608.22,docs/s
Max Throughput,bulk,2692.21,docs/s
50th percentile latency,bulk,53.780020000033346,ms
90th percentile latency,bulk,65.25492669998698,ms
99th percentile latency,bulk,91.79570558995106,ms
99.9th percentile latency,bulk,1100.4570989480162,ms
99.99th percentile latency,bulk,1343.6447782369255,ms
100th percentile latency,bulk,1348.1734570000299,ms
50th percentile service time,bulk,53.780020000033346,ms
90th percentile service time,bulk,65.25492669998698,ms
99th percentile service time,bulk,91.79570558995106,ms
99.9th percentile service time,bulk,1100.4570989480162,ms
99.99th percentile service time,bulk,1343.6447782369255,ms
100th percentile service time,bulk,1348.1734570000299,ms
error rate,bulk,0.00,%
