Metric,Task,Value,Unit
Cumulative indexing time of primary shards,,1.5026666666666666,min
Min cumulative indexing time across primary shards,,0.29041666666666666,min
Median cumulative indexing time across primary shards,,0.3033166666666667,min
Max cumulative indexing time across primary shards,,0.31101666666666666,min
Cumulative indexing throttle time of primary shards,,0,min
Min cumulative indexing throttle time across primary shards,,0,min
Median cumulative indexing throttle time across primary shards,,0,min
Max cumulative indexing throttle time across primary shards,,0,min
Cumulative merge time of primary shards,,0.1494,min
Cumulative merge count of primary shards,,3,
Min cumulative merge time across primary shards,,0,min
Median cumulative merge time across primary shards,,0.03706666666666667,min
Max cumulative merge time across primary shards,,0.060899999999999996,min
Cumulative merge throttle time of primary shards,,0,min
Min cumulative merge throttle time across primary shards,,0,min
Median cumulative merge throttle time across primary shards,,0,min
Max cumulative merge throttle time across primary shards,,0,min
Cumulative refresh time of primary shards,,0.11739999999999999,min
Cumulative refresh count of primary shards,,61,
Min cumulative refresh time across primary shards,,0.020849999999999997,min
Median cumulative refresh time across primary shards,,0.024216666666666668,min
Max cumulative refresh time across primary shards,,0.0251,min
Cumulative flush time of primary shards,,0,min
Cumulative flush count of primary shards,,0,
Min cumulative flush time across primary shards,,0,min
Median cumulative flush time across primary shards,,0,min
Max cumulative flush time across primary shards,,0,min
Total Young Gen GC time,,0.465,s
Total Young Gen GC count,,9,
Total Old Gen GC time,,0,s
Total Old Gen GC count,,0,
Store size,,0.25119446590542793,GB
Translog size,,0.358208317309618,GB
Heap used for segments,,0,MB
Heap used for doc values,,0,MB
Heap used for terms,,0,MB
Heap used for norms,,0,MB
Heap used for points,,0,MB
Heap used for stored fields,,0,MB
Segment count,,53,
Total Ingest Pipeline count,,0,
Total Ingest Pipeline time,,0,s
Total Ingest Pipeline failed,,0,
Min Throughput,bulk,944.14,docs/s
Mean Throughput,bulk,2712.12,docs/s
Median Throughput,bulk,2867.01,docs/s
Max Throughput,bulk,3009.24,docs/s
50th percentile latency,bulk,46.779497000002834,ms
90th percentile latency,bulk,50.70337810000467,ms
99th percentile latency,bulk,108.9165787500201,ms
99.9th percentile latency,bulk,509.2594530140104,ms
99.99th percentile latency,bulk,767.5950680074761,ms
100th percentile latency,bulk,770.7921580000061,ms
50th percentile service time,bulk,46.779497000002834,ms
90th percentile service time,bulk,50.70337810000467,ms
99th percentile service time,bulk,108.9165787500201,ms
99.9th percentile service time,bulk,509.2594530140104,ms
99.99th percentile service time,bulk,767.5950680074761,ms
100th percentile service time,bulk,770.7921580000061,ms
error rate,bulk,0.00,%
