Metric,Task,Value,Unit
Cumulative indexing time of primary shards,,1.5736999999999999,min
Min cumulative indexing time across primary shards,,0.30718333333333336,min
Median cumulative indexing time across primary shards,,0.31338333333333335,min
Max cumulative indexing time across primary shards,,0.32766666666666666,min
Cumulative indexing throttle time of primary shards,,0,min
Min cumulative indexing throttle time across primary shards,,0,min
Median cumulative indexing throttle time across primary shards,,0,min
Max cumulative indexing throttle time across primary shards,,0,min
Cumulative merge time of primary shards,,0.13301666666666667,min
Cumulative merge count of primary shards,,5,
Min cumulative merge time across primary shards,,0.02246666666666667,min
Median cumulative merge time across primary shards,,0.02555,min
Max cumulative merge time across primary shards,,0.031016666666666668,min
Cumulative merge throttle time of primary shards,,0,min
Min cumulative merge throttle time across primary shards,,0,min
Median cumulative merge throttle time across primary shards,,0,min
Max cumulative merge throttle time across primary shards,,0,min
Cumulative refresh time of primary shards,,0.07613333333333333,min
Cumulative refresh count of primary shards,,75,
Min cumulative refresh time across primary shards,,0.013616666666666666,min
Median cumulative refresh time across primary shards,,0.015300000000000001,min
Max cumulative refresh time across primary shards,,0.016849999999999997,min
Cumulative flush time of primary shards,,0,min
Cumulative flush count of primary shards,,0,
Min cumulative flush time across primary shards,,0,min
Median cumulative flush time across primary shards,,0,min
Max cumulative flush time across primary shards,,0,min
Total Young Gen GC time,,0.178,s
Total Young Gen GC count,,5,
Total Old Gen GC time,,0,s
Total Old Gen GC count,,0,
Store size,,0.6983893932774663,GB
Translog size,,0.9978948757052422,GB
Heap used for segments,,0,MB
Heap used for doc values,,0,MB
Heap used for terms,,0,MB
Heap used for norms,,0,MB
Heap used for points,,0,MB
Heap used for stored fields,,0,MB
Segment count,,20,
Total Ingest Pipeline count,,0,
Total Ingest Pipeline time,,0,s
Total Ingest Pipeline failed,,0,
Min Throughput,bulk,698.47,docs/s
Mean Throughput,bulk,2432.40,docs/s
Median Throughput,bulk,2489.77,docs/s
Max Throughput,bulk,2521.15,docs/s
50th percentile latency,bulk,55.0004645000115,ms
90th percentile latency,bulk,69.48213950000195,ms
99th percentile latency,bulk,92.92338883004558,ms
99.9th percentile latency,bulk,1079.783415060049,ms
99.99th percentile latency,bulk,1239.57491533829,ms
100th percentile latency,bulk,1247.1657389999677,ms
50th percentile service time,bulk,55.0004645000115,ms
90th percentile service time,bulk,69.48213950000195,ms
99th percentile service time,bulk,92.92338883004558,ms
99.9th percentile service time,bulk,1079.783415060049,ms
99.99th percentile service time,bulk,1239.57491533829,ms
100th percentile service time,bulk,1247.1657389999677,ms
error rate,bulk,0.00,%
