Metric,Task,Value,Unit
Cumulative indexing time of primary shards,,0.9669166666666666,min
Min cumulative indexing time across primary shards,,0.022283333333333332,min
Median cumulative indexing time across primary shards,,0.18610000000000002,min
Max cumulative indexing time across primary shards,,0.2,min
Cumulative indexing throttle time of primary shards,,0,min
Min cumulative indexing throttle time across primary shards,,0,min
Median cumulative indexing throttle time across primary shards,,0.0,min
Max cumulative indexing throttle time across primary shards,,0,min
Cumulative merge time of primary shards,,0,min
Cumulative merge count of primary shards,,0,
Min cumulative merge time across primary shards,,0,min
Median cumulative merge time across primary shards,,0.0,min
Max cumulative merge time across primary shards,,0,min
Cumulative merge throttle time of primary shards,,0,min
Min cumulative merge throttle time across primary shards,,0,min
Median cumulative merge throttle time across primary shards,,0.0,min
Max cumulative merge throttle time across primary shards,,0,min
Cumulative refresh time of primary shards,,0.12536666666666668,min
Cumulative refresh count of primary shards,,71,
Min cumulative refresh time across primary shards,,0.0014666666666666667,min
Median cumulative refresh time across primary shards,,0.024683333333333335,min
Max cumulative refresh time across primary shards,,0.026816666666666666,min
Cumulative flush time of primary shards,,0.0049833333333333335,min
Cumulative flush count of primary shards,,4,
Min cumulative flush time across primary shards,,0,min
Median cumulative flush time across primary shards,,0.0,min
Max cumulative flush time across primary shards,,0.0049833333333333335,min
Total Young Gen GC time,,0.235,s
Total Young Gen GC count,,7,
Total Old Gen GC time,,0,s
Total Old Gen GC count,,0,
Store size,,0.2740324651822448,GB
Translog size,,0.3605366749688983,GB
Heap used for segments,,0.2598228454589844,MB
Heap used for doc values,,0.010471343994140625,MB
Heap used for terms,,0.19775390625,MB
Heap used for norms,,0.0244140625,MB
Heap used for points,,0,MB
Heap used for stored fields,,0.02718353271484375,MB
Segment count,,55,
Total Ingest Pipeline count,,0,
Total Ingest Pipeline time,,0,s
Total Ingest Pipeline failed,,0,
Min Throughput,bulk,960.53,docs/s
Mean Throughput,bulk,4243.93,docs/s
Median Throughput,bulk,4569.80,docs/s
Max Throughput,bulk,4765.61,docs/s
50th percentile latency,bulk,28.785336000055395,ms
90th percentile latency,bulk,33.3293279999225,ms
99th percentile latency,bulk,70.44237200000225,ms
99.9th percentile latency,bulk,144.17709099997154,ms
99.99th percentile latency,bulk,298.45755400003475,ms
100th percentile latency,bulk,299.6213669999861,ms
50th percentile service time,bulk,28.785336000055395,ms
90th percentile service time,bulk,33.3293279999225,ms
99th percentile service time,bulk,70.44237200000225,ms
99.9th percentile service time,bulk,144.17709099997154,ms
99.99th percentile service time,bulk,298.45755400003475,ms
100th percentile service time,bulk,299.6213669999861,ms
error rate,bulk,0.00,%
