Metric,Task,Value,Unit
Cumulative indexing time of primary shards,,1.2321166666666667,min
Min cumulative indexing time across primary shards,,0.022283333333333332,min
Median cumulative indexing time across primary shards,,0.24221666666666666,min
Max cumulative indexing time across primary shards,,0.24575,min
Cumulative indexing throttle time of primary shards,,0,min
Min cumulative indexing throttle time across primary shards,,0,min
Median cumulative indexing throttle time across primary shards,,0.0,min
Max cumulative indexing throttle time across primary shards,,0,min
Cumulative merge time of primary shards,,0.18103333333333332,min
Cumulative merge count of primary shards,,5,
Min cumulative merge time across primary shards,,0,min
Median cumulative merge time across primary shards,,0.037616666666666666,min
Max cumulative merge time across primary shards,,0.043133333333333336,min
Cumulative merge throttle time of primary shards,,0,min
Min cumulative merge throttle time across primary shards,,0,min
Median cumulative merge throttle time across primary shards,,0.0,min
Max cumulative merge throttle time across primary shards,,0,min
Cumulative refresh time of primary shards,,0.07705000000000001,min
Cumulative refresh count of primary shards,,86,
Min cumulative refresh time across primary shards,,0.0014666666666666667,min
Median cumulative refresh time across primary shards,,0.014166666666666666,min
Max cumulative refresh time across primary shards,,0.019183333333333333,min
Cumulative flush time of primary shards,,0.0049833333333333335,min
Cumulative flush count of primary shards,,4,
Min cumulative flush time across primary shards,,0,min
Median cumulative flush time across primary shards,,0.0,min
Max cumulative flush time across primary shards,,0.0049833333333333335,min
Total Young Gen GC time,,0.127,s
Total Young Gen GC count,,7,
Total Old Gen GC time,,0,s
Total Old Gen GC count,,0,
Store size,,0.743337388150394,GB
Translog size,,0.9584704684093595,GB
Heap used for segments,,0.143402099609375,MB
Heap used for doc values,,0.01068115234375,MB
Heap used for terms,,0.102142333984375,MB
Heap used for norms,,0.01483154296875,MB
Heap used for points,,0,MB
Heap used for stored fields,,0.0157470703125,MB
Segment count,,32,
Total Ingest Pipeline count,,0,
Total Ingest Pipeline time,,0,s
Total Ingest Pipeline failed,,0,
Min Throughput,bulk,1925.61,docs/s
Mean Throughput,bulk,2536.47,docs/s
Median Throughput,bulk,2559.44,docs/s
Max Throughput,bulk,2587.34,docs/s
50th percentile latency,bulk,56.13108000397915,ms
90th percentile latency,bulk,74.98397160961758,ms
99th percentile latency,bulk,100.54237612013812,ms
99.9th percentile latency,bulk,380.0395485088301,ms
99.99th percentile latency,bulk,617.0230099261081,ms
100th percentile latency,bulk,620.0452990015037,ms
50th percentile service time,bulk,56.13108000397915,ms
90th percentile service time,bulk,74.98397160961758,ms
99th percentile service time,bulk,100.54237612013812,ms
99.9th percentile service time,bulk,380.0395485088301,ms
99.99th percentile service time,bulk,617.0230099261081,ms
100th percentile service time,bulk,620.0452990015037,ms
error rate,bulk,0.00,%
