Metric,Task,Value,Unit
Cumulative indexing time of primary shards,,1.3949,min
Min cumulative indexing time across primary shards,,0.21576666666666666,min
Median cumulative indexing time across primary shards,,0.2845833333333333,min
Max cumulative indexing time across primary shards,,0.31315000000000004,min
Cumulative indexing throttle time of primary shards,,0,min
Min cumulative indexing throttle time across primary shards,,0,min
Median cumulative indexing throttle time across primary shards,,0,min
Max cumulative indexing throttle time across primary shards,,0,min
Cumulative merge time of primary shards,,0.029633333333333334,min
Cumulative merge count of primary shards,,10,
Min cumulative merge time across primary shards,,0.0049499999999999995,min
Median cumulative merge time across primary shards,,0.0058,min
Max cumulative merge time across primary shards,,0.007333333333333333,min
Cumulative merge throttle time of primary shards,,0,min
Min cumulative merge throttle time across primary shards,,0,min
Median cumulative merge throttle time across primary shards,,0,min
Max cumulative merge throttle time across primary shards,,0,min
Cumulative refresh time of primary shards,,0.5071,min
Cumulative refresh count of primary shards,,94,
Min cumulative refresh time across primary shards,,0.08456666666666666,min
Median cumulative refresh time across primary shards,,0.09820000000000001,min
Max cumulative refresh time across primary shards,,0.12345,min
Cumulative flush time of primary shards,,0,min
Cumulative flush count of primary shards,,0,
Min cumulative flush time across primary shards,,0,min
Median cumulative flush time across primary shards,,0,min
Max cumulative flush time across primary shards,,0,min
Total Young Gen GC time,,0.285,s
Total Young Gen GC count,,33,
Total Old Gen GC time,,0,s
Total Old Gen GC count,,0,
Store size,,1.1757237873971462,GB
Translog size,,0.9997574537992477,GB
Heap used for segments,,0,MB
Heap used for doc values,,0,MB
Heap used for terms,,0,MB
Heap used for norms,,0,MB
Heap used for points,,0,MB
Heap used for stored fields,,0,MB
Segment count,,61,
Total Ingest Pipeline count,,0,
Total Ingest Pipeline time,,0,s
Total Ingest Pipeline failed,,0,
Min Throughput,bulk,2922.39,docs/s
Mean Throughput,bulk,3122.58,docs/s
Median Throughput,bulk,3107.44,docs/s
Max Throughput,bulk,3197.32,docs/s
50th percentile latency,bulk,42.951770999934524,ms
90th percentile latency,bulk,56.82551609643269,ms
99th percentile latency,bulk,71.29365707485702,ms
99.9th percentile latency,bulk,339.3523719567274,ms
99.99th percentile latency,bulk,3607.700350486995,ms
100th percentile latency,bulk,4576.100836013211,ms
50th percentile service time,bulk,42.951770999934524,ms
90th percentile service time,bulk,56.82551609643269,ms
99th percentile service time,bulk,71.29365707485702,ms
99.9th percentile service time,bulk,339.3523719567274,ms
99.99th percentile service time,bulk,3607.700350486995,ms
100th percentile service time,bulk,4576.100836013211,ms
error rate,bulk,0.00,%
