Metric,Task,Value,Unit
Cumulative indexing time of primary shards,,1.7897833333333333,min
Min cumulative indexing time across primary shards,,0.07545,min
Median cumulative indexing time across primary shards,,0.33703333333333335,min
Max cumulative indexing time across primary shards,,0.36341666666666667,min
Cumulative indexing throttle time of primary shards,,0,min
Min cumulative indexing throttle time across primary shards,,0,min
Median cumulative indexing throttle time across primary shards,,0.0,min
Max cumulative indexing throttle time across primary shards,,0,min
Cumulative merge time of primary shards,,0.19351666666666667,min
Cumulative merge count of primary shards,,5,
Min cumulative merge time across primary shards,,0,min
Median cumulative merge time across primary shards,,0.03658333333333333,min
Max cumulative merge time across primary shards,,0.045000000000000005,min
Cumulative merge throttle time of primary shards,,0,min
Min cumulative merge throttle time across primary shards,,0,min
Median cumulative merge throttle time across primary shards,,0.0,min
Max cumulative merge throttle time across primary shards,,0,min
Cumulative refresh time of primary shards,,0.16481666666666667,min
Cumulative refresh count of primary shards,,93,
Min cumulative refresh time across primary shards,,0.011616666666666666,min
Median cumulative refresh time across primary shards,,0.020708333333333332,min
Max cumulative refresh time across primary shards,,0.07111666666666668,min
Cumulative flush time of primary shards,,0.017033333333333334,min
Cumulative flush count of primary shards,,8,
Min cumulative flush time across primary shards,,0,min
Median cumulative flush time across primary shards,,0.0,min
Max cumulative flush time across primary shards,,0.017033333333333334,min
Total Young Gen GC time,,0.518,s
Total Young Gen GC count,,6,
Total Old Gen GC time,,0,s
Total Old Gen GC count,,0,
Store size,,0.3371714847162366,GB
Translog size,,0.3605366749688983,GB
Heap used for segments,,0.3243980407714844,MB
Heap used for doc values,,0.014408111572265625,MB
Heap used for terms,,0.24560546875,MB
Heap used for norms,,0.0302734375,MB
Heap used for points,,0,MB
Heap used for stored fields,,0.03411102294921875,MB
Segment count,,69,
Total Ingest Pipeline count,,0,
Total Ingest Pipeline time,,0,s
Total Ingest Pipeline failed,,0,
Min Throughput,bulk,1823.83,docs/s
Mean Throughput,bulk,2724.16,docs/s
Median Throughput,bulk,2724.46,docs/s
Max Throughput,bulk,2881.49,docs/s
50th percentile latency,bulk,51.91915400791913,ms
90th percentile latency,bulk,61.28192237811163,ms
99th percentile latency,bulk,98.96334891498552,ms
99.9th percentile latency,bulk,271.05377450441426,ms
99.99th percentile latency,bulk,582.275947943719,ms
100th percentile latency,bulk,2299.0745899733156,ms
50th percentile service time,bulk,51.91915400791913,ms
90th percentile service time,bulk,61.28192237811163,ms
99th percentile service time,bulk,98.96334891498552,ms
99.9th percentile service time,bulk,271.05377450441426,ms
99.99th percentile service time,bulk,582.275947943719,ms
100th percentile service time,bulk,2299.0745899733156,ms
error rate,bulk,0.00,%
