Metric,Task,Value,Unit
Cumulative indexing time of primary shards,,1.67865,min
Min cumulative indexing time across primary shards,,0.33003333333333335,min
Median cumulative indexing time across primary shards,,0.33636666666666665,min
Max cumulative indexing time across primary shards,,0.34293333333333337,min
Cumulative indexing throttle time of primary shards,,0,min
Min cumulative indexing throttle time across primary shards,,0,min
Median cumulative indexing throttle time across primary shards,,0,min
Max cumulative indexing throttle time across primary shards,,0,min
Cumulative merge time of primary shards,,0.3537166666666666,min
Cumulative merge count of primary shards,,4,
Min cumulative merge time across primary shards,,0,min
Median cumulative merge time across primary shards,,0.08650000000000001,min
Max cumulative merge time across primary shards,,0.09288333333333335,min
Cumulative merge throttle time of primary shards,,0,min
Min cumulative merge throttle time across primary shards,,0,min
Median cumulative merge throttle time across primary shards,,0,min
Max cumulative merge throttle time across primary shards,,0,min
Cumulative refresh time of primary shards,,0.12483333333333334,min
Cumulative refresh count of primary shards,,64,
Min cumulative refresh time across primary shards,,0.01955,min
Median cumulative refresh time across primary shards,,0.022366666666666667,min
Max cumulative refresh time across primary shards,,0.0343,min
Cumulative flush time of primary shards,,0,min
Cumulative flush count of primary shards,,0,
Min cumulative flush time across primary shards,,0,min
Median cumulative flush time across primary shards,,0,min
Max cumulative flush time across primary shards,,0,min
Total Young Gen GC time,,0.171,s
Total Young Gen GC count,,4,
Total Old Gen GC time,,0,s
Total Old Gen GC count,,0,
Store size,,0.272146918810904,GB
Translog size,,0.39984622690826654,GB
Heap used for segments,,0,MB
Heap used for doc values,,0,MB
Heap used for terms,,0,MB
Heap used for norms,,0,MB
Heap used for points,,0,MB
Heap used for stored fields,,0,MB
Segment count,,54,
Total Ingest Pipeline count,,0,
Total Ingest Pipeline time,,0,s
Total Ingest Pipeline failed,,0,
Min Throughput,bulk,737.50,docs/s
Mean Throughput,bulk,2866.55,docs/s
Median Throughput,bulk,2936.11,docs/s
Max Throughput,bulk,3006.40,docs/s
50th percentile latency,bulk,46.69147999999268,ms
90th percentile latency,bulk,53.425252999994655,ms
99th percentile latency,bulk,104.53738140003964,ms
99.9th percentile latency,bulk,229.7071778299836,ms
99.99th percentile latency,bulk,448.28739181960253,ms
100th percentile latency,bulk,449.33204400001614,ms
50th percentile service time,bulk,46.69147999999268,ms
90th percentile service time,bulk,53.425252999994655,ms
99th percentile service time,bulk,104.53738140003964,ms
99.9th percentile service time,bulk,229.7071778299836,ms
99.99th percentile service time,bulk,448.28739181960253,ms
100th percentile service time,bulk,449.33204400001614,ms
error rate,bulk,0.00,%
