Metric,Task,Value,Unit
Cumulative indexing time of primary shards,,0.5723166666666667,min
Min cumulative indexing time across primary shards,,0.11159999999999999,min
Median cumulative indexing time across primary shards,,0.11445,min
Max cumulative indexing time across primary shards,,0.11783333333333333,min
Cumulative indexing throttle time of primary shards,,0,min
Min cumulative indexing throttle time across primary shards,,0,min
Median cumulative indexing throttle time across primary shards,,0,min
Max cumulative indexing throttle time across primary shards,,0,min
Cumulative merge time of primary shards,,0.05361666666666667,min
Cumulative merge count of primary shards,,10,
Min cumulative merge time across primary shards,,0.009216666666666668,min
Median cumulative merge time across primary shards,,0.011283333333333334,min
Max cumulative merge time across primary shards,,0.011616666666666666,min
Cumulative merge throttle time of primary shards,,0,min
Min cumulative merge throttle time across primary shards,,0,min
Median cumulative merge throttle time across primary shards,,0,min
Max cumulative merge throttle time across primary shards,,0,min
Cumulative refresh time of primary shards,,0.08213333333333334,min
Cumulative refresh count of primary shards,,73,
Min cumulative refresh time across primary shards,,0.015133333333333334,min
Median cumulative refresh time across primary shards,,0.016716666666666664,min
Max cumulative refresh time across primary shards,,0.017400000000000002,min
Cumulative flush time of primary shards,,0,min
Cumulative flush count of primary shards,,0,
Min cumulative flush time across primary shards,,0,min
Median cumulative flush time across primary shards,,0,min
Max cumulative flush time across primary shards,,0,min
Total Young Gen GC time,,0.141,s
Total Young Gen GC count,,9,
Total Old Gen GC time,,0,s
Total Old Gen GC count,,0,
Store size,,0.29327539540827274,GB
Translog size,,0.358208317309618,GB
Heap used for segments,,0,MB
Heap used for doc values,,0,MB
Heap used for terms,,0,MB
Heap used for norms,,0,MB
Heap used for points,,0,MB
Heap used for stored fields,,0,MB
Segment count,,41,
Total Ingest Pipeline count,,0,
Total Ingest Pipeline time,,0,s
Total Ingest Pipeline failed,,0,
Min Throughput,bulk,8481.36,docs/s
Mean Throughput,bulk,11324.36,docs/s
Median Throughput,bulk,11457.20,docs/s
Max Throughput,bulk,12066.96,docs/s
50th percentile latency,bulk,9.022229511174373,ms
90th percentile latency,bulk,13.294929184485227,ms
99th percentile latency,bulk,22.920768745243546,ms
99.9th percentile latency,bulk,93.31321529878429,ms
99.99th percentile latency,bulk,131.7327509820634,ms
100th percentile latency,bulk,144.45583301130682,ms
50th percentile service time,bulk,9.022229511174373,ms
90th percentile service time,bulk,13.294929184485227,ms
99th percentile service time,bulk,22.920768745243546,ms
99.9th percentile service time,bulk,93.31321529878429,ms
99.99th percentile service time,bulk,131.7327509820634,ms
100th percentile service time,bulk,144.45583301130682,ms
error rate,bulk,0.00,%
