Metric,Task,Value,Unit
Cumulative indexing time of primary shards,,1.5427333333333333,min
Min cumulative indexing time across primary shards,,0.2978166666666667,min
Median cumulative indexing time across primary shards,,0.3053666666666667,min
Max cumulative indexing time across primary shards,,0.32738333333333336,min
Cumulative indexing throttle time of primary shards,,0,min
Min cumulative indexing throttle time across primary shards,,0,min
Median cumulative indexing throttle time across primary shards,,0,min
Max cumulative indexing throttle time across primary shards,,0,min
Cumulative merge time of primary shards,,0.08286666666666667,min
Cumulative merge count of primary shards,,5,
Min cumulative merge time across primary shards,,0.01245,min
Median cumulative merge time across primary shards,,0.017033333333333334,min
Max cumulative merge time across primary shards,,0.01875,min
Cumulative merge throttle time of primary shards,,0,min
Min cumulative merge throttle time across primary shards,,0,min
Median cumulative merge throttle time across primary shards,,0,min
Max cumulative merge throttle time across primary shards,,0,min
Cumulative refresh time of primary shards,,0.0528,min
Cumulative refresh count of primary shards,,80,
Min cumulative refresh time across primary shards,,0.009583333333333333,min
Median cumulative refresh time across primary shards,,0.01015,min
Max cumulative refresh time across primary shards,,0.012266666666666667,min
Cumulative flush time of primary shards,,0,min
Cumulative flush count of primary shards,,0,
Min cumulative flush time across primary shards,,0,min
Median cumulative flush time across primary shards,,0,min
Max cumulative flush time across primary shards,,0,min
Total Young Gen GC time,,0.155,s
Total Young Gen GC count,,6,
Total Old Gen GC time,,0,s
Total Old Gen GC count,,0,
Store size,,0.7254580035805702,GB
Translog size,,0.9978948757052422,GB
Heap used for segments,,0,MB
Heap used for doc values,,0,MB
Heap used for terms,,0,MB
Heap used for norms,,0,MB
Heap used for points,,0,MB
Heap used for stored fields,,0,MB
Segment count,,25,
Total Ingest Pipeline count,,0,
Total Ingest Pipeline time,,0,s
Total Ingest Pipeline failed,,0,
Min Throughput,bulk,594.80,docs/s
Mean Throughput,bulk,2007.43,docs/s
Median Throughput,bulk,2020.76,docs/s
Max Throughput,bulk,2097.27,docs/s
50th percentile latency,bulk,67.10324949995083,ms
90th percentile latency,bulk,85.98997140000505,ms
99th percentile latency,bulk,112.08932125997308,ms
99.9th percentile latency,bulk,894.6575949600485,ms
99.99th percentile latency,bulk,1003.5215544800918,ms
100th percentile latency,bulk,1011.2621719999879,ms
50th percentile service time,bulk,67.10324949995083,ms
90th percentile service time,bulk,85.98997140000505,ms
99th percentile service time,bulk,112.08932125997308,ms
99.9th percentile service time,bulk,894.6575949600485,ms
99.99th percentile service time,bulk,1003.5215544800918,ms
100th percentile service time,bulk,1011.2621719999879,ms
error rate,bulk,0.00,%
