Metric,Task,Value,Unit
Cumulative indexing time of primary shards,,0.007683333333333334,min
Min cumulative indexing time across primary shards,,0.0012,min
Median cumulative indexing time across primary shards,,0.00145,min
Max cumulative indexing time across primary shards,,0.0020166666666666666,min
Cumulative indexing throttle time of primary shards,,0,min
Min cumulative indexing throttle time across primary shards,,0,min
Median cumulative indexing throttle time across primary shards,,0,min
Max cumulative indexing throttle time across primary shards,,0,min
Cumulative merge time of primary shards,,0,min
Cumulative merge count of primary shards,,0,
Min cumulative merge time across primary shards,,0,min
Median cumulative merge time across primary shards,,0,min
Max cumulative merge time across primary shards,,0,min
Cumulative merge throttle time of primary shards,,0,min
Min cumulative merge throttle time across primary shards,,0,min
Median cumulative merge throttle time across primary shards,,0,min
Max cumulative merge throttle time across primary shards,,0,min
Cumulative refresh time of primary shards,,0.00295,min
Cumulative refresh count of primary shards,,15,
Min cumulative refresh time across primary shards,,0.00025,min
Median cumulative refresh time across primary shards,,0.00046666666666666666,min
Max cumulative refresh time across primary shards,,0.0011166666666666666,min
Cumulative flush time of primary shards,,0,min
Cumulative flush count of primary shards,,0,
Min cumulative flush time across primary shards,,0,min
Median cumulative flush time across primary shards,,0,min
Max cumulative flush time across primary shards,,0,min
Total Young Gen GC time,,0,s
Total Young Gen GC count,,0,
Total Old Gen GC time,,0,s
Total Old Gen GC count,,0,
Store size,,4.1909515857696533e-07,GB
Translog size,,0.0018590549007058144,GB
Heap used for segments,,0,MB
Heap used for doc values,,0,MB
Heap used for terms,,0,MB
Heap used for norms,,0,MB
Heap used for points,,0,MB
Heap used for stored fields,,0,MB
Segment count,,9,
Total Ingest Pipeline count,,0,
Total Ingest Pipeline time,,0,s
Total Ingest Pipeline failed,,0,
Min Throughput,bulk,17.54,docs/s
Mean Throughput,bulk,67.45,docs/s
Median Throughput,bulk,35.15,docs/s
Max Throughput,bulk,149.66,docs/s
50th percentile latency,bulk,51.819999993313104,ms
90th percentile latency,bulk,2819.21195902396,ms
100th percentile latency,bulk,2834.6433760016225,ms
50th percentile service time,bulk,51.819999993313104,ms
90th percentile service time,bulk,2819.21195902396,ms
100th percentile service time,bulk,2834.6433760016225,ms
error rate,bulk,4.76,%
