Metric,Task,Value,Unit
Cumulative indexing time of primary shards,,1.2354166666666666,min
Min cumulative indexing time across primary shards,,0.23816666666666667,min
Median cumulative indexing time across primary shards,,0.24800000000000003,min
Max cumulative indexing time across primary shards,,0.258,min
Cumulative indexing throttle time of primary shards,,0,min
Min cumulative indexing throttle time across primary shards,,0,min
Median cumulative indexing throttle time across primary shards,,0,min
Max cumulative indexing throttle time across primary shards,,0,min
Cumulative merge time of primary shards,,0.039150000000000004,min
Cumulative merge count of primary shards,,14,
Min cumulative merge time across primary shards,,0.005849999999999999,min
Median cumulative merge time across primary shards,,0.00745,min
Max cumulative merge time across primary shards,,0.009916666666666666,min
Cumulative merge throttle time of primary shards,,0,min
Min cumulative merge throttle time across primary shards,,0,min
Median cumulative merge throttle time across primary shards,,0,min
Max cumulative merge throttle time across primary shards,,0,min
Cumulative refresh time of primary shards,,0.038483333333333335,min
Cumulative refresh count of primary shards,,85,
Min cumulative refresh time across primary shards,,0.007333333333333333,min
Median cumulative refresh time across primary shards,,0.007716666666666667,min
Max cumulative refresh time across primary shards,,0.008016666666666667,min
Cumulative flush time of primary shards,,0,min
Cumulative flush count of primary shards,,0,
Min cumulative flush time across primary shards,,0,min
Median cumulative flush time across primary shards,,0,min
Max cumulative flush time across primary shards,,0,min
Total Young Gen GC time,,0.564,s
Total Young Gen GC count,,5,
Total Old Gen GC time,,0,s
Total Old Gen GC count,,0,
Store size,,0.7518537500873208,GB
Translog size,,0.9978948757052422,GB
Heap used for segments,,0,MB
Heap used for doc values,,0,MB
Heap used for terms,,0,MB
Heap used for norms,,0,MB
Heap used for points,,0,MB
Heap used for stored fields,,0,MB
Segment count,,48,
Total Ingest Pipeline count,,0,
Total Ingest Pipeline time,,0,s
Total Ingest Pipeline failed,,0,
Min Throughput,bulk,1752.20,docs/s
Mean Throughput,bulk,2165.91,docs/s
Median Throughput,bulk,2222.25,docs/s
Max Throughput,bulk,2472.90,docs/s
50th percentile latency,bulk,60.66168751567602,ms
90th percentile latency,bulk,91.07102926354855,ms
99th percentile latency,bulk,263.21117572020705,ms
99.9th percentile latency,bulk,524.000112146661,ms
99.99th percentile latency,bulk,16786.10965273086,ms
100th percentile latency,bulk,16799.559466075152,ms
50th percentile service time,bulk,60.66168751567602,ms
90th percentile service time,bulk,91.07102926354855,ms
99th percentile service time,bulk,263.21117572020705,ms
99.9th percentile service time,bulk,524.000112146661,ms
99.99th percentile service time,bulk,16786.10965273086,ms
100th percentile service time,bulk,16799.559466075152,ms
error rate,bulk,0.00,%
