Metric,Task,Value,Unit
Cumulative indexing time of primary shards,,0.03638333333333333,min
Min cumulative indexing time across primary shards,,1.6666666666666667e-05,min
Median cumulative indexing time across primary shards,,3.3333333333333335e-05,min
Max cumulative indexing time across primary shards,,0.03621666666666667,min
Cumulative indexing throttle time of primary shards,,0,min
Min cumulative indexing throttle time across primary shards,,0,min
Median cumulative indexing throttle time across primary shards,,0.0,min
Max cumulative indexing throttle time across primary shards,,0,min
Cumulative merge time of primary shards,,0,min
Cumulative merge count of primary shards,,0,
Min cumulative merge time across primary shards,,0,min
Median cumulative merge time across primary shards,,0.0,min
Max cumulative merge time across primary shards,,0,min
Cumulative merge throttle time of primary shards,,0,min
Min cumulative merge throttle time across primary shards,,0,min
Median cumulative merge throttle time across primary shards,,0.0,min
Max cumulative merge throttle time across primary shards,,0,min
Cumulative refresh time of primary shards,,0.006833333333333333,min
Cumulative refresh count of primary shards,,38,
Min cumulative refresh time across primary shards,,0,min
Median cumulative refresh time across primary shards,,1.6666666666666667e-05,min
Max cumulative refresh time across primary shards,,0.006750000000000001,min
Cumulative flush time of primary shards,,0.016983333333333333,min
Cumulative flush count of primary shards,,17,
Min cumulative flush time across primary shards,,0.0010833333333333333,min
Median cumulative flush time across primary shards,,0.002075,min
Max cumulative flush time across primary shards,,0.006816666666666666,min
Total Young Gen GC time,,0,s
Total Young Gen GC count,,0,
Total Old Gen GC time,,0,s
Total Old Gen GC count,,0,
Store size,,0.03950553573668003,GB
Translog size,,5.755573511123657e-07,GB
Heap used for segments,,0.01273345947265625,MB
Heap used for doc values,,0.00101470947265625,MB
Heap used for terms,,0.005126953125,MB
Heap used for norms,,0,MB
Heap used for points,,0,MB
Heap used for stored fields,,0.006591796875,MB
Segment count,,14,
Total Ingest Pipeline count,,0,
Total Ingest Pipeline time,,0,s
Total Ingest Pipeline failed,,0,
Min Throughput,bulk,0.00,ops/s
Mean Throughput,bulk,0.31,ops/s
Median Throughput,bulk,0.33,ops/s
Max Throughput,bulk,0.53,ops/s
50th percentile latency,bulk,462.6751272007823,ms
90th percentile latency,bulk,932.4524644762278,ms
99th percentile latency,bulk,1989.778839983046,ms
99.9th percentile latency,bulk,3153.4478338435397,ms
99.99th percentile latency,bulk,4018.7396975226975,ms
100th percentile latency,bulk,4293.9497493207455,ms
50th percentile service time,bulk,462.6751272007823,ms
90th percentile service time,bulk,932.4524644762278,ms
99th percentile service time,bulk,1989.778839983046,ms
99.9th percentile service time,bulk,3153.4478338435397,ms
99.99th percentile service time,bulk,4018.7396975226975,ms
100th percentile service time,bulk,4293.9497493207455,ms
error rate,bulk,100.00,%
