Metric,Task,Value,Unit
Cumulative indexing time of primary shards,,1.6350833333333334,min
Min cumulative indexing time across primary shards,,0.03621666666666667,min
Median cumulative indexing time across primary shards,,0.31798333333333334,min
Max cumulative indexing time across primary shards,,0.32715,min
Cumulative indexing throttle time of primary shards,,0,min
Min cumulative indexing throttle time across primary shards,,0,min
Median cumulative indexing throttle time across primary shards,,0.0,min
Max cumulative indexing throttle time across primary shards,,0,min
Cumulative merge time of primary shards,,0.21975,min
Cumulative merge count of primary shards,,3,
Min cumulative merge time across primary shards,,0,min
Median cumulative merge time across primary shards,,0.03480833333333333,min
Max cumulative merge time across primary shards,,0.07681666666666667,min
Cumulative merge throttle time of primary shards,,0,min
Min cumulative merge throttle time across primary shards,,0,min
Median cumulative merge throttle time across primary shards,,0.0,min
Max cumulative merge throttle time across primary shards,,0,min
Cumulative refresh time of primary shards,,0.23951666666666668,min
Cumulative refresh count of primary shards,,76,
Min cumulative refresh time across primary shards,,0.006750000000000001,min
Median cumulative refresh time across primary shards,,0.022424999999999997,min
Max cumulative refresh time across primary shards,,0.1387,min
Cumulative flush time of primary shards,,0.0068,min
Cumulative flush count of primary shards,,3,
Min cumulative flush time across primary shards,,0,min
Median cumulative flush time across primary shards,,0.0,min
Max cumulative flush time across primary shards,,0.0068,min
Total Young Gen GC time,,0.415,s
Total Young Gen GC count,,9,
Total Old Gen GC time,,0,s
Total Old Gen GC count,,0,
Store size,,0.3017320176586509,GB
Translog size,,0.3605366749688983,GB
Heap used for segments,,0.3039665222167969,MB
Heap used for doc values,,0.019443511962890625,MB
Heap used for terms,,0.2255859375,MB
Heap used for norms,,0.02783203125,MB
Heap used for points,,0,MB
Heap used for stored fields,,0.03110504150390625,MB
Segment count,,63,
Total Ingest Pipeline count,,0,
Total Ingest Pipeline time,,0,s
Total Ingest Pipeline failed,,0,
Min Throughput,bulk,421.01,docs/s
Mean Throughput,bulk,2556.91,docs/s
Median Throughput,bulk,2788.47,docs/s
Max Throughput,bulk,3121.40,docs/s
50th percentile latency,bulk,41.54042899608612,ms
90th percentile latency,bulk,53.79822477698326,ms
99th percentile latency,bulk,134.2787705361843,ms
99.9th percentile latency,bulk,275.61606187373644,ms
99.99th percentile latency,bulk,441.1348253488313,ms
100th percentile latency,bulk,692.711959592998,ms
50th percentile service time,bulk,41.54042899608612,ms
90th percentile service time,bulk,53.79822477698326,ms
99th percentile service time,bulk,134.2787705361843,ms
99.9th percentile service time,bulk,275.61606187373644,ms
99.99th percentile service time,bulk,441.1348253488313,ms
100th percentile service time,bulk,692.711959592998,ms
error rate,bulk,0.00,%
