Metric,Task,Value,Unit
Cumulative indexing time of primary shards,,0.6819333333333333,min
Min cumulative indexing time across primary shards,,0.13105,min
Median cumulative indexing time across primary shards,,0.13746666666666665,min
Max cumulative indexing time across primary shards,,0.14051666666666665,min
Cumulative indexing throttle time of primary shards,,0,min
Min cumulative indexing throttle time across primary shards,,0,min
Median cumulative indexing throttle time across primary shards,,0,min
Max cumulative indexing throttle time across primary shards,,0,min
Cumulative merge time of primary shards,,0.019799999999999998,min
Cumulative merge count of primary shards,,10,
Min cumulative merge time across primary shards,,0.00265,min
Median cumulative merge time across primary shards,,0.0036666666666666666,min
Max cumulative merge time across primary shards,,0.005783333333333333,min
Cumulative merge throttle time of primary shards,,0,min
Min cumulative merge throttle time across primary shards,,0,min
Median cumulative merge throttle time across primary shards,,0,min
Max cumulative merge throttle time across primary shards,,0,min
Cumulative refresh time of primary shards,,0.028766666666666666,min
Cumulative refresh count of primary shards,,90,
Min cumulative refresh time across primary shards,,0.00545,min
Median cumulative refresh time across primary shards,,0.0058,min
Max cumulative refresh time across primary shards,,0.005966666666666666,min
Cumulative flush time of primary shards,,0,min
Cumulative flush count of primary shards,,0,
Min cumulative flush time across primary shards,,0,min
Median cumulative flush time across primary shards,,0,min
Max cumulative flush time across primary shards,,0,min
Total Young Gen GC time,,0.14,s
Total Young Gen GC count,,6,
Total Old Gen GC time,,0,s
Total Old Gen GC count,,0,
Store size,,0.7313236203044653,GB
Translog size,,0.9997574537992477,GB
Heap used for segments,,0,MB
Heap used for doc values,,0,MB
Heap used for terms,,0,MB
Heap used for norms,,0,MB
Heap used for points,,0,MB
Heap used for stored fields,,0,MB
Segment count,,34,
Total Ingest Pipeline count,,0,
Total Ingest Pipeline time,,0,s
Total Ingest Pipeline failed,,0,
Min Throughput,bulk,2172.26,docs/s
Mean Throughput,bulk,3181.09,docs/s
Median Throughput,bulk,3206.04,docs/s
Max Throughput,bulk,3219.74,docs/s
50th percentile latency,bulk,44.62260451691691,ms
90th percentile latency,bulk,55.06004999333526,ms
99th percentile latency,bulk,64.9847890806268,ms
99.9th percentile latency,bulk,90.05048646131853,ms
99.99th percentile latency,bulk,115.23652643382847,ms
100th percentile latency,bulk,117.55720901419409,ms
50th percentile service time,bulk,44.62260451691691,ms
90th percentile service time,bulk,55.06004999333526,ms
99th percentile service time,bulk,64.9847890806268,ms
99.9th percentile service time,bulk,90.05048646131853,ms
99.99th percentile service time,bulk,115.23652643382847,ms
100th percentile service time,bulk,117.55720901419409,ms
error rate,bulk,0.00,%
