Metric,Task,Value,Unit
Cumulative indexing time of primary shards,,0.6739999999999999,min
Min cumulative indexing time across primary shards,,0.13075,min
Median cumulative indexing time across primary shards,,0.13325,min
Max cumulative indexing time across primary shards,,0.14145,min
Cumulative indexing throttle time of primary shards,,0,min
Min cumulative indexing throttle time across primary shards,,0,min
Median cumulative indexing throttle time across primary shards,,0,min
Max cumulative indexing throttle time across primary shards,,0,min
Cumulative merge time of primary shards,,0.015333333333333334,min
Cumulative merge count of primary shards,,8,
Min cumulative merge time across primary shards,,0.0023666666666666667,min
Median cumulative merge time across primary shards,,0.0029,min
Max cumulative merge time across primary shards,,0.0041,min
Cumulative merge throttle time of primary shards,,0,min
Min cumulative merge throttle time across primary shards,,0,min
Median cumulative merge throttle time across primary shards,,0,min
Max cumulative merge throttle time across primary shards,,0,min
Cumulative refresh time of primary shards,,0.029449999999999997,min
Cumulative refresh count of primary shards,,90,
Min cumulative refresh time across primary shards,,0.00545,min
Median cumulative refresh time across primary shards,,0.0059,min
Max cumulative refresh time across primary shards,,0.006383333333333334,min
Cumulative flush time of primary shards,,0,min
Cumulative flush count of primary shards,,0,
Min cumulative flush time across primary shards,,0,min
Median cumulative flush time across primary shards,,0,min
Max cumulative flush time across primary shards,,0,min
Total Young Gen GC time,,0.097,s
Total Young Gen GC count,,6,
Total Old Gen GC time,,0,s
Total Old Gen GC count,,0,
Store size,,0.7073125662282109,GB
Translog size,,0.9997574537992477,GB
Heap used for segments,,0,MB
Heap used for doc values,,0,MB
Heap used for terms,,0,MB
Heap used for norms,,0,MB
Heap used for points,,0,MB
Heap used for stored fields,,0,MB
Segment count,,39,
Total Ingest Pipeline count,,0,
Total Ingest Pipeline time,,0,s
Total Ingest Pipeline failed,,0,
Min Throughput,bulk,2165.09,docs/s
Mean Throughput,bulk,2929.70,docs/s
Median Throughput,bulk,2983.05,docs/s
Max Throughput,bulk,3005.96,docs/s
50th percentile latency,bulk,47.36856298404746,ms
90th percentile latency,bulk,59.760783580713905,ms
99th percentile latency,bulk,71.62884876452152,ms
99.9th percentile latency,bulk,95.47799034362235,ms
99.99th percentile latency,bulk,121.21675535078624,ms
100th percentile latency,bulk,135.09745898772962,ms
50th percentile service time,bulk,47.36856298404746,ms
90th percentile service time,bulk,59.760783580713905,ms
99th percentile service time,bulk,71.62884876452152,ms
99.9th percentile service time,bulk,95.47799034362235,ms
99.99th percentile service time,bulk,121.21675535078624,ms
100th percentile service time,bulk,135.09745898772962,ms
error rate,bulk,0.00,%
