Metric,Task,Value,Unit
Cumulative indexing time of primary shards,,0.05921666666666667,min
Min cumulative indexing time across primary shards,,0.0025166666666666666,min
Median cumulative indexing time across primary shards,,0.0033583333333333334,min
Max cumulative indexing time across primary shards,,0.04226666666666667,min
Cumulative indexing throttle time of primary shards,,0,min
Min cumulative indexing throttle time across primary shards,,0,min
Median cumulative indexing throttle time across primary shards,,0.0,min
Max cumulative indexing throttle time across primary shards,,0,min
Cumulative merge time of primary shards,,0,min
Cumulative merge count of primary shards,,0,
Min cumulative merge time across primary shards,,0,min
Median cumulative merge time across primary shards,,0.0,min
Max cumulative merge time across primary shards,,0,min
Cumulative merge throttle time of primary shards,,0,min
Min cumulative merge throttle time across primary shards,,0,min
Median cumulative merge throttle time across primary shards,,0.0,min
Max cumulative merge throttle time across primary shards,,0,min
Cumulative refresh time of primary shards,,0.017249999999999998,min
Cumulative refresh count of primary shards,,41,
Min cumulative refresh time across primary shards,,0.0015666666666666667,min
Median cumulative refresh time across primary shards,,0.002816666666666667,min
Max cumulative refresh time across primary shards,,0.0043,min
Cumulative flush time of primary shards,,0.0066500000000000005,min
Cumulative flush count of primary shards,,4,
Min cumulative flush time across primary shards,,0,min
Median cumulative flush time across primary shards,,0.0,min
Max cumulative flush time across primary shards,,0.0066500000000000005,min
Total Young Gen GC time,,0,s
Total Young Gen GC count,,0,
Total Old Gen GC time,,0,s
Total Old Gen GC count,,0,
Store size,,0.03796679154038429,GB
Translog size,,0.0018699876964092255,GB
Heap used for segments,,0.11499786376953125,MB
Heap used for doc values,,0.01242828369140625,MB
Heap used for terms,,0.078704833984375,MB
Heap used for norms,,0.01129150390625,MB
Heap used for points,,0,MB
Heap used for stored fields,,0.0125732421875,MB
Segment count,,26,
Total Ingest Pipeline count,,0,
Total Ingest Pipeline time,,0,s
Total Ingest Pipeline failed,,0,
Min Throughput,bulk,21.90,docs/s
Mean Throughput,bulk,77.86,docs/s
Median Throughput,bulk,89.39,docs/s
Max Throughput,bulk,124.92,docs/s
50th percentile latency,bulk,581.9744600448757,ms
90th percentile latency,bulk,2160.7062380062416,ms
100th percentile latency,bulk,2368.4016569750383,ms
50th percentile service time,bulk,581.9744600448757,ms
90th percentile service time,bulk,2160.7062380062416,ms
100th percentile service time,bulk,2368.4016569750383,ms
error rate,bulk,0.00,%
