Metric,Task,Value,Unit
Cumulative indexing time of primary shards,,0.6861666666666667,min
Min cumulative indexing time across primary shards,,0.1319,min
Median cumulative indexing time across primary shards,,0.1372,min
Max cumulative indexing time across primary shards,,0.14345,min
Cumulative indexing throttle time of primary shards,,0,min
Min cumulative indexing throttle time across primary shards,,0,min
Median cumulative indexing throttle time across primary shards,,0,min
Max cumulative indexing throttle time across primary shards,,0,min
Cumulative merge time of primary shards,,0.018133333333333335,min
Cumulative merge count of primary shards,,9,
Min cumulative merge time across primary shards,,0.0014166666666666668,min
Median cumulative merge time across primary shards,,0.0038333333333333336,min
Max cumulative merge time across primary shards,,0.004666666666666667,min
Cumulative merge throttle time of primary shards,,0,min
Min cumulative merge throttle time across primary shards,,0,min
Median cumulative merge throttle time across primary shards,,0,min
Max cumulative merge throttle time across primary shards,,0,min
Cumulative refresh time of primary shards,,0.032216666666666664,min
Cumulative refresh count of primary shards,,76,
Min cumulative refresh time across primary shards,,0.005366666666666667,min
Median cumulative refresh time across primary shards,,0.00655,min
Max cumulative refresh time across primary shards,,0.007216666666666666,min
Cumulative flush time of primary shards,,0,min
Cumulative flush count of primary shards,,0,
Min cumulative flush time across primary shards,,0,min
Median cumulative flush time across primary shards,,0,min
Max cumulative flush time across primary shards,,0,min
Total Young Gen GC time,,0.076,s
Total Young Gen GC count,,5,
Total Old Gen GC time,,0,s
Total Old Gen GC count,,0,
Store size,,0.748343750834465,GB
Translog size,,0.9997574537992477,GB
Heap used for segments,,0,MB
Heap used for doc values,,0,MB
Heap used for terms,,0,MB
Heap used for norms,,0,MB
Heap used for points,,0,MB
Heap used for stored fields,,0,MB
Segment count,,41,
Total Ingest Pipeline count,,0,
Total Ingest Pipeline time,,0,s
Total Ingest Pipeline failed,,0,
Min Throughput,bulk,20.11,docs/s
Mean Throughput,bulk,2745.11,docs/s
Median Throughput,bulk,2957.34,docs/s
Max Throughput,bulk,2987.47,docs/s
50th percentile latency,bulk,47.12302050029393,ms
90th percentile latency,bulk,58.60922560095787,ms
99th percentile latency,bulk,68.7083053117385,ms
99.9th percentile latency,bulk,89.04437099967699,ms
99.99th percentile latency,bulk,2394.399663617195,ms
100th percentile latency,bulk,2459.7922099928837,ms
50th percentile service time,bulk,47.12302050029393,ms
90th percentile service time,bulk,58.60922560095787,ms
99th percentile service time,bulk,68.7083053117385,ms
99.9th percentile service time,bulk,89.04437099967699,ms
99.99th percentile service time,bulk,2394.399663617195,ms
100th percentile service time,bulk,2459.7922099928837,ms
error rate,bulk,0.00,%
