Metric,Task,Value,Unit
Cumulative indexing time of primary shards,,1.4585333333333332,min
Min cumulative indexing time across primary shards,,0.28503333333333336,min
Median cumulative indexing time across primary shards,,0.29164999999999996,min
Max cumulative indexing time across primary shards,,0.2967666666666667,min
Cumulative indexing throttle time of primary shards,,0,min
Min cumulative indexing throttle time across primary shards,,0,min
Median cumulative indexing throttle time across primary shards,,0,min
Max cumulative indexing throttle time across primary shards,,0,min
Cumulative merge time of primary shards,,0.13776666666666668,min
Cumulative merge count of primary shards,,5,
Min cumulative merge time across primary shards,,0.019983333333333336,min
Median cumulative merge time across primary shards,,0.03005,min
Max cumulative merge time across primary shards,,0.03025,min
Cumulative merge throttle time of primary shards,,0,min
Min cumulative merge throttle time across primary shards,,0,min
Median cumulative merge throttle time across primary shards,,0,min
Max cumulative merge throttle time across primary shards,,0,min
Cumulative refresh time of primary shards,,0.09426666666666667,min
Cumulative refresh count of primary shards,,70,
Min cumulative refresh time across primary shards,,0.015500000000000002,min
Median cumulative refresh time across primary shards,,0.01838333333333333,min
Max cumulative refresh time across primary shards,,0.023716666666666667,min
Cumulative flush time of primary shards,,0,min
Cumulative flush count of primary shards,,0,
Min cumulative flush time across primary shards,,0,min
Median cumulative flush time across primary shards,,0,min
Max cumulative flush time across primary shards,,0,min
Total Young Gen GC time,,0.122,s
Total Young Gen GC count,,5,
Total Old Gen GC time,,0,s
Total Old Gen GC count,,0,
Store size,,0.7116202255710959,GB
Translog size,,0.9978948757052422,GB
Heap used for segments,,0,MB
Heap used for doc values,,0,MB
Heap used for terms,,0,MB
Heap used for norms,,0,MB
Heap used for points,,0,MB
Heap used for stored fields,,0,MB
Segment count,,16,
Total Ingest Pipeline count,,0,
Total Ingest Pipeline time,,0,s
Total Ingest Pipeline failed,,0,
Min Throughput,bulk,968.86,docs/s
Mean Throughput,bulk,2211.76,docs/s
Median Throughput,bulk,2230.51,docs/s
Max Throughput,bulk,2259.99,docs/s
50th percentile latency,bulk,64.65290350001851,ms
90th percentile latency,bulk,81.1866384000723,ms
99th percentile latency,bulk,101.58868556995455,ms
99.9th percentile latency,bulk,973.7179036689835,ms
99.99th percentile latency,bulk,1234.384649036371,ms
100th percentile latency,bulk,1235.747636000042,ms
50th percentile service time,bulk,64.65290350001851,ms
90th percentile service time,bulk,81.1866384000723,ms
99th percentile service time,bulk,101.58868556995455,ms
99.9th percentile service time,bulk,973.7179036689835,ms
99.99th percentile service time,bulk,1234.384649036371,ms
100th percentile service time,bulk,1235.747636000042,ms
error rate,bulk,0.00,%
