Metric,Task,Value,Unit
Cumulative indexing time of primary shards,,1.6621833333333333,min
Min cumulative indexing time across primary shards,,0.3262333333333334,min
Median cumulative indexing time across primary shards,,0.33175000000000004,min
Max cumulative indexing time across primary shards,,0.3427,min
Cumulative indexing throttle time of primary shards,,0,min
Min cumulative indexing throttle time across primary shards,,0,min
Median cumulative indexing throttle time across primary shards,,0,min
Max cumulative indexing throttle time across primary shards,,0,min
Cumulative merge time of primary shards,,0.10395,min
Cumulative merge count of primary shards,,5,
Min cumulative merge time across primary shards,,0.019950000000000002,min
Median cumulative merge time across primary shards,,0.020583333333333335,min
Max cumulative merge time across primary shards,,0.02188333333333333,min
Cumulative merge throttle time of primary shards,,0,min
Min cumulative merge throttle time across primary shards,,0,min
Median cumulative merge throttle time across primary shards,,0,min
Max cumulative merge throttle time across primary shards,,0,min
Cumulative refresh time of primary shards,,0.07581666666666667,min
Cumulative refresh count of primary shards,,75,
Min cumulative refresh time across primary shards,,0.013033333333333334,min
Median cumulative refresh time across primary shards,,0.015250000000000001,min
Max cumulative refresh time across primary shards,,0.017166666666666667,min
Cumulative flush time of primary shards,,0,min
Cumulative flush count of primary shards,,0,
Min cumulative flush time across primary shards,,0,min
Median cumulative flush time across primary shards,,0,min
Max cumulative flush time across primary shards,,0,min
Total Young Gen GC time,,0.133,s
Total Young Gen GC count,,6,
Total Old Gen GC time,,0,s
Total Old Gen GC count,,0,
Store size,,0.7272033840417862,GB
Translog size,,0.9978948757052422,GB
Heap used for segments,,0,MB
Heap used for doc values,,0,MB
Heap used for terms,,0,MB
Heap used for norms,,0,MB
Heap used for points,,0,MB
Heap used for stored fields,,0,MB
Segment count,,20,
Total Ingest Pipeline count,,0,
Total Ingest Pipeline time,,0,s
Total Ingest Pipeline failed,,0,
Min Throughput,bulk,846.21,docs/s
Mean Throughput,bulk,2460.14,docs/s
Median Throughput,bulk,2504.25,docs/s
Max Throughput,bulk,2522.20,docs/s
50th percentile latency,bulk,55.554363500021964,ms
90th percentile latency,bulk,69.89978829999473,ms
99th percentile latency,bulk,93.20117376000607,ms
99.9th percentile latency,bulk,1068.6167023360285,ms
99.99th percentile latency,bulk,1244.680220008669,ms
100th percentile latency,bulk,1245.5172249999578,ms
50th percentile service time,bulk,55.554363500021964,ms
90th percentile service time,bulk,69.89978829999473,ms
99th percentile service time,bulk,93.20117376000607,ms
99.9th percentile service time,bulk,1068.6167023360285,ms
99.99th percentile service time,bulk,1244.680220008669,ms
100th percentile service time,bulk,1245.5172249999578,ms
error rate,bulk,0.00,%
