Metric,Task,Value,Unit
Cumulative indexing time of primary shards,,0.006716666666666667,min
Min cumulative indexing time across primary shards,,0.0011333333333333334,min
Median cumulative indexing time across primary shards,,0.0013,min
Max cumulative indexing time across primary shards,,0.0018,min
Cumulative indexing throttle time of primary shards,,0,min
Min cumulative indexing throttle time across primary shards,,0,min
Median cumulative indexing throttle time across primary shards,,0,min
Max cumulative indexing throttle time across primary shards,,0,min
Cumulative merge time of primary shards,,0,min
Cumulative merge count of primary shards,,0,
Min cumulative merge time across primary shards,,0,min
Median cumulative merge time across primary shards,,0,min
Max cumulative merge time across primary shards,,0,min
Cumulative merge throttle time of primary shards,,0,min
Min cumulative merge throttle time across primary shards,,0,min
Median cumulative merge throttle time across primary shards,,0,min
Max cumulative merge throttle time across primary shards,,0,min
Cumulative refresh time of primary shards,,0.0018833333333333334,min
Cumulative refresh count of primary shards,,14,
Min cumulative refresh time across primary shards,,0,min
Median cumulative refresh time across primary shards,,0.00028333333333333335,min
Max cumulative refresh time across primary shards,,0.001,min
Cumulative flush time of primary shards,,0,min
Cumulative flush count of primary shards,,0,
Min cumulative flush time across primary shards,,0,min
Median cumulative flush time across primary shards,,0,min
Max cumulative flush time across primary shards,,0,min
Total Young Gen GC time,,0,s
Total Young Gen GC count,,0,
Total Old Gen GC time,,0,s
Total Old Gen GC count,,0,
Store size,,0.00037503521889448166,GB
Translog size,,0.001865890808403492,GB
Heap used for segments,,0,MB
Heap used for doc values,,0,MB
Heap used for terms,,0,MB
Heap used for norms,,0,MB
Heap used for points,,0,MB
Heap used for stored fields,,0,MB
Segment count,,6,
Total Ingest Pipeline count,,0,
Total Ingest Pipeline time,,0,s
Total Ingest Pipeline failed,,0,
Min Throughput,bulk,20.24,docs/s
Mean Throughput,bulk,53.59,docs/s
Median Throughput,bulk,40.74,docs/s
Max Throughput,bulk,99.79,docs/s
50th percentile latency,bulk,51.64820799836889,ms
90th percentile latency,bulk,2398.7997099757195,ms
100th percentile latency,bulk,2456.711334991269,ms
50th percentile service time,bulk,51.64820799836889,ms
90th percentile service time,bulk,2398.7997099757195,ms
100th percentile service time,bulk,2456.711334991269,ms
error rate,bulk,4.76,%
