Metric,Task,Value,Unit
Cumulative indexing time of primary shards,,2.1279166666666667,min
Min cumulative indexing time across primary shards,,0.043666666666666666,min
Median cumulative indexing time across primary shards,,0.411325,min
Max cumulative indexing time across primary shards,,0.44028333333333336,min
Cumulative indexing throttle time of primary shards,,0,min
Min cumulative indexing throttle time across primary shards,,0,min
Median cumulative indexing throttle time across primary shards,,0.0,min
Max cumulative indexing throttle time across primary shards,,0,min
Cumulative merge time of primary shards,,0.009833333333333333,min
Cumulative merge count of primary shards,,5,
Min cumulative merge time across primary shards,,0,min
Median cumulative merge time across primary shards,,0.0017,min
Max cumulative merge time across primary shards,,0.0028666666666666662,min
Cumulative merge throttle time of primary shards,,0,min
Min cumulative merge throttle time across primary shards,,0,min
Median cumulative merge throttle time across primary shards,,0.0,min
Max cumulative merge throttle time across primary shards,,0,min
Cumulative refresh time of primary shards,,0.025133333333333334,min
Cumulative refresh count of primary shards,,102,
Min cumulative refresh time across primary shards,,0.003533333333333333,min
Median cumulative refresh time across primary shards,,0.0038583333333333334,min
Max cumulative refresh time across primary shards,,0.0056,min
Cumulative flush time of primary shards,,0.00705,min
Cumulative flush count of primary shards,,4,
Min cumulative flush time across primary shards,,0,min
Median cumulative flush time across primary shards,,0.0,min
Max cumulative flush time across primary shards,,0.00705,min
Total Young Gen GC time,,0.707,s
Total Young Gen GC count,,7,
Total Old Gen GC time,,0,s
Total Old Gen GC count,,0,
Store size,,0.7555115474388003,GB
Translog size,,1.0002232333645225,GB
Heap used for segments,,0.19092941284179688,MB
Heap used for doc values,,0.019657135009765625,MB
Heap used for terms,,0.132171630859375,MB
Heap used for norms,,0.01922607421875,MB
Heap used for points,,0,MB
Heap used for stored fields,,0.01987457275390625,MB
Segment count,,41,
Total Ingest Pipeline count,,0,
Total Ingest Pipeline time,,0,s
Total Ingest Pipeline failed,,0,
Min Throughput,bulk,117.63,docs/s
Mean Throughput,bulk,160.38,docs/s
Median Throughput,bulk,158.12,docs/s
Max Throughput,bulk,236.69,docs/s
50th percentile latency,bulk,790.8747931942344,ms
90th percentile latency,bulk,1613.3779222145677,ms
99th percentile latency,bulk,2720.7536101341248,ms
99.9th percentile latency,bulk,3592.0199817046896,ms
99.99th percentile latency,bulk,4155.4068792609405,ms
100th percentile latency,bulk,4225.631450302899,ms
50th percentile service time,bulk,790.8747931942344,ms
90th percentile service time,bulk,1613.3779222145677,ms
99th percentile service time,bulk,2720.7536101341248,ms
99.9th percentile service time,bulk,3592.0199817046896,ms
99.99th percentile service time,bulk,4155.4068792609405,ms
100th percentile service time,bulk,4225.631450302899,ms
error rate,bulk,0.00,%
